id,pt_in,pt_out,tt_in,tt_out,vf_fr,vf_td,vf_su,pt_in_s,pt_out_s,tt_in_s,tt_out_s,vf_fr_s,vf_td_s,vf_su_s,daily_paper_code,data_time
2580,2.86,2.68,18.66,25.69,2872.71,30841.8,4474907,2.86,2.68,18.66,25.69,0,0,7154169,lqgz,12/6/2023 19:00:11
2581,2.84,2.66,18.48,24.77,2839.66,33702.44,4477767,2.84,2.66,18.48,24.77,0,0,7154169,lqgz,12/6/2023 20:00:12
2582,2.83,2.66,18.37,24.25,3097.64,36740.5,4480806,2.83,2.66,18.37,24.25,0,0,7154169,lqgz,12/6/2023 21:00:10
2583,2.83,2.66,18.4,24.34,2929.23,39739.39,4483804,2.83,2.66,18.4,24.34,0,0,7154169,lqgz,12/6/2023 22:00:11
2584,2.84,2.67,18.38,24.1,3587.5,42666.95,4486732,2.84,2.67,18.38,24.1,0,0,7154169,lqgz,12/6/2023 23:00:17
2585,2.88,2.71,18.44,24.06,2982.88,45988.43,4490053,2.88,2.71,18.44,24.06,0,0,7154169,lqgz,13/6/2023 00:00:00
2586,2.92,2.75,18.52,24.29,2344.51,48642.54,4492707,2.92,2.75,18.52,24.29,0,0,7154169,lqgz,13/6/2023 01:00:10
2587,2.95,2.79,18.65,24.88,1819.23,50687.81,4494753,2.95,2.79,18.65,24.88,0,0,7154169,lqgz,13/6/2023 02:00:00
2588,2.96,2.79,20.61,27.1,0,51353.61,4495418,2.96,2.79,20.61,27.1,0,0,7154169,lqgz,13/6/2023 03:00:00
2589,2.96,2.79,21.18,28.17,0,51353.61,4495418,2.96,2.79,21.18,28.17,0,0,7154169,lqgz,13/6/2023 04:00:11
2590,2.95,2.78,21.25,28.29,0,51384.26,4495448,2.95,2.78,21.25,28.29,0,0,7154169,lqgz,13/6/2023 05:00:11
2591,2.91,2.75,20.95,25.57,689.05,52145.84,4496210,2.91,2.75,20.95,25.57,0,0,7154169,lqgz,13/6/2023 06:00:15
2592,2.91,2.74,18.71,25.14,1668.78,53774.71,4497839,2.91,2.74,18.71,25.14,0,0,7154169,lqgz,13/6/2023 07:00:00
2593,2.94,2.72,19.41,26.65,0,55024.71,4499089,2.94,2.72,19.41,26.65,0,0,7154169,lqgz,13/6/2023 08:00:11
2594,2.89,2.72,19.02,26.68,2454.59,2335.09,4501425,2.89,2.72,19.02,26.68,0,0,7154169,lqgz,13/6/2023 09:00:02
2595,2.88,2.71,19.59,29.47,2408.45,4800.67,4503889,2.88,2.71,19.59,29.47,0,0,7154169,lqgz,13/6/2023 10:00:10
2596,2.94,0,28.84,0,0,0,0,2.94,0,28.84,0,0,0,0,lqgz,13/6/2023 11:00:10
2597,2.87,0,20.26,0,0,0,0,2.87,0,20.26,0,0,0,0,lqgz,13/6/2023 12:00:05
2598,2.84,2.55,20.12,32.51,2793.06,7570.08,4506657,2.84,2.55,20.12,32.51,0,0,7154169,lqgz,13/6/2023 13:00:01
2599,2.87,2.57,20.15,31.71,2838.85,10385.45,4509475,2.87,2.57,20.15,31.71,0,0,7154169,lqgz,13/6/2023 14:00:30
